Model #, Price, Date
Q40P1-1MADH000,2022-04-26,1998.0
Q4810-1M00000C,2022-04-26,1997.0
QA31-1MAQH04N,2022-04-26,2062.0
LI-Q4860-1M000000-CEN04,2022-04-26,2030.0
Q4000-1M000003,2022-04-26,1615.0
Q4800-1T0000NR,2022-04-26,2218.52
QA21-1MAUH000,2022-04-26,1380.0
QAX0-1MXXX000,2022-04-26,1165.0
QB21-1MAUH000,2022-04-26,1513.0
QB31-1MAUH000,2022-04-26,1845.0
HT1-0THFRMGW00,2022-04-26,1995.0
8400-1T0XXXX1,2022-04-26,1550.0
8410-1M0XX000,2022-04-26,1515.0
8410-1T000000,2022-04-26,1574.08
MS3A-CFG-13253,2022-04-26,2894.74
MS3-CFG-13130,2022-04-26,2883.16
MS3-CFG-13135,2022-04-26,2525.26
MS3-CFG-13136,2022-04-26,3104.21
MS3-CFG-13137,2022-04-26,3104.21
MS3-CFG-13141,2022-04-26,3478.95
MS3-CFG-HL-13129,2022-04-26,2883.16
MS3-CFG-HL-13130,2022-04-26,2883.16
MS3-CFG-HL-13134,2022-04-26,2946.32
MS3-CFG-HL-13135,2022-04-26,2946.32
MS3-CFG-HL-13136,2022-04-26,3525.26
MS3-CFG-HL-13137,2022-04-26,3525.26
MS3-CFG-HL-13138,2022-04-26,3321.05
MS3-CFG-HL-13139,2022-04-26,3321.05
MS3-CFG-HL-13140,2022-04-26,3900.0
MS3-CFG-HL-13141,2022-04-26,3900.0
RT10A-L1N-18C12S0F,2022-04-26,3539.175
RT10A-L1N-18C12S1F,2022-04-26,3173.24
200254,2022-04-26,2589.0
200255,2022-04-26,2749.0
200256,2022-04-26,2639.0
200258,2022-04-26,3029.0
200464,2022-04-26,4061.43
200553,2022-04-26,2649.0
200596,2022-04-26,2349.0
200597,2022-04-26,2519.0
200620,2022-04-26,2279.0
200666,2022-04-26,6347.0
201029,2022-04-26,130.85
201037,2022-04-26,201.0
201038,2022-04-26,72.95
201057,2022-04-26,3699.0
201067,2022-04-26,6047.0
201116,2022-04-26,3349.0
201145,2022-04-26,3249.0
201148,2022-04-26,2349.0
201160,2022-04-26,6171.0
210342,2022-04-26,5749.0
210354,2022-04-26,3199.0
210356,2022-04-26,4999.0
210358,2022-04-26,3049.0
210413,2022-04-26,3249.0
210414,2022-04-26,3099.0
210417,2022-04-26,3049.0
210435,2022-04-26,2499.0
210504,2022-04-26,5149.0
210528,2022-04-26,4649.0
210581,2022-04-26,5599.0
210597,2022-04-26,2949.0
210604,2022-04-26,2938.89
210609,2022-04-26,5149.0
210613,2022-04-26,4099.0
